⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🏈	Football	American Football|Amerika|Ball|Football|Sport|Super Bowl
🏉	Rugbyball	Ball|Rugby|Rugbyball|Sport
🏊	Schwimmer(in)	Kraulen|Person|Pool|Schwimmbecken|Schwimmen|Schwimmer|Schwimmer(in)|Schwimmerin|Sport|Triathlon|Wasser
🏏	Kricket	Ball|Cricket|Kricket|Schläger
🏐	Volleyball	Ball|Sport|Volleyball
🏑	Feldhockey	Feldhockey|Hockey|Schläger
🏒	Eishockey	Eishockey|Eishockey-Schläger und Puck|Hockey|Puck|Schläger
🏓	Tischtennis	Ball|Ping Pong|Schläger|Spiel|Sport|Tischtennis
🏠	Haus	Gebäude|Haus|Zuhause
🏡	Haus mit Garten	Baum|Haus|Haus mit Baum|Haus mit Garten
🏢	Bürogebäude	Bürogebäude|Hochhaus
🏣	japanisches Postgebäude	Japan|japanisches Postgebäude|Japanisches Postgebäude|Post
🏤	Postgebäude	Europa|Europäisches Postgebäude|Post|Postgebäude
🏥	Krankenhaus	Ambulanz|Arzt|Gebäude|krank|Krankenhaus|Medizin|Notaufnahme
🏦	Bank	Bank|Gebäude|Geld
🏧	Symbol „Geldautomat“	ATM|Geldautomat|Symbol „Geldautomat“
🏨	Hotel	Gebäude|Hotel|übernachten|Unterkunft
🏩	Stundenhotel	Gebäude|Hotel|Liebe|Stundenhotel|Unterkunft
🏪	Minimarkt	einkaufen|Gebäude|Geschäft|Lebensmittel|Minimarkt
🏫	Schule	Gebäude|Schule|Schulgebäude
🏬	Kaufhaus	einkaufen|Gebäude|Geschäft|Kaufhaus|shoppen
🏭	Fabrik	Fabrik|Fabrikgebäude|Gebäude
🏮	rote Papierlaterne	Izakaya|Japanische Laterne|japanisches Lokal|rote Papierlaterne
🏯	japanisches Schloss	Bauwerk|Gebäude|Japan|japanisch|japanisches Schloss|Japanisches Schloss|Schloss
🏰	Schloss	Bauwerk|Burg|Europa|europäisch|Gebäude|Märchen|Märchenschloss|Schloss
🏴	schwarze Flagge	Fahne|schwarze Fahne|schwarze Flagge|wehen|Wehende schwarze Fahne
🏸	Badminton	Badminton|Federball|Schläger
🏹	Pfeil und Bogen	Bogen|Pfeil|Pfeil und Bogen
